algorithm,input,n,time_ms,comparisons,max_depth
MergeSort,random,1000,0.4852,9555,8
QuickSort,random,1000,2.917,11820,7
QuickSelect,random,1000,0.5829,3215,18
MergeSort,sorted,1000,0.2259,4236,8
QuickSort,sorted,1000,0.445,11225,6
QuickSelect,sorted,1000,0.5859,3274,16
MergeSort,duplicates,1000,0.5155,9106,8
QuickSort,duplicates,1000,0.1037,3219,3
QuickSelect,duplicates,1000,0.0728,2033,5
MergeSort,random,10000,5.9384,127164,11
QuickSort,random,10000,6.3749,163375,9
QuickSelect,random,10000,1.0196,29921,19
MergeSort,sorted,10000,3.4548,59248,11
QuickSort,sorted,10000,1.6299,157928,9
QuickSelect,sorted,10000,1.0686,33597,28
MergeSort,duplicates,10000,3.5048,122208,11
QuickSort,duplicates,10000,0.4078,31385,3
QuickSelect,duplicates,10000,0.1862,23644,6
MergeSort,random,100000,20.6271,1640597,14
QuickSort,random,100000,21.5966,2020266,10
QuickSelect,random,100000,2.4854,367544,27
MergeSort,sorted,100000,10.836,744016,14
QuickSort,sorted,100000,14.2972,2039367,11
QuickSelect,sorted,100000,0.9863,299865,27
MergeSort,duplicates,100000,12.3803,1562269,14
QuickSort,duplicates,100000,2.8457,353993,3
QuickSelect,duplicates,100000,2.1539,223868,5
MergeSort,random,1000000,240.2721,19888407,18
QuickSort,random,1000000,168.051,21218590,12
QuickSelect,random,1000000,21.7788,3123843,24
MergeSort,sorted,1000000,81.5766,9071040,18
QuickSort,sorted,1000000,138.1614,25496491,14
QuickSelect,sorted,1000000,12.5791,3603056,30
MergeSort,duplicates,1000000,129.5353,18921050,18
QuickSort,duplicates,1000000,28.7167,3319253,3
QuickSelect,duplicates,1000000,13.7578,1719499,4
